"ID","indicator_id","indicator_name_aff","indicator_name","indicator_function","indicator_parameters","indicator_strategies","indicator_default_para"
"[301386,502700272]",1,"Hilbert Transform - Dominant Cycle Period","HT_DCPERIOD",1,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700273]",2,"Hilbert Transform - Dominant Cycle Phase","HT_DCPHASE",2,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700274]",3,"Hilbert Transform - Phasor Components - Inphase","HT_PHASOR_inphase",3,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700275]",4,"Hilbert Transform - Phasor Components -Quadrature","HT_PHASOR_quadrature",3,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700276]",5,"Hilbert Transform - SineWave - Sine","HT_SINE_sine",4,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700277]",6,"Hilbert Transform - SineWave - Leadsine","HT_SINE_leadsine",4,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700278]",7,"Hilbert Transform - Trend vs Cycle Mode","HT_TRENDMODE",5,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700279]",8,"Addition","ADD",6,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700280]",9,"Division","DIV",7,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700281]",10,"Maximum","MAX",8,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700282]",11,"Index of highest value","MAXINDEX",9,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700283]",12,"Minimum","MIN",10,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700284]",13,"Index of lowest value","MININDEX",11,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700285]",14,"Lowest and highest values - Min","MINMAX_min",12,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700286]",15,"Lowest and highest values - Max","MINMAX_max",12,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700287]",16,"Indexes of lowest and highest values - Min","MINMAXINDEX_minidx",13,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700288]",17,"Indexes of lowest and highest values - Max","MINMAXINDEX_maxidx",13,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700289]",18,"Vector Arithmetic Mult","MULT",14,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700290]",19,"Vector Arithmetic Substraction","SUB",15,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700291]",20,"Summation","SUM",16,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700292]",21,"Arc Cosine","ACOS",17,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700293]",22,"Arc Sine","ASIN",18,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700294]",23,"Arc Tangent","ATAN",19,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700295]",24,"Ceiling","CEIL",20,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700296]",25,"Cosine","COS",21,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700297]",26,"Hyperbolic Cosine","COSH",22,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700298]",27,"Exponential","EXP",23,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700299]",28,"Floor","FLOOR",24,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700300]",29,"Natural Logarithm","LN",25,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700301]",30,"Log10","LOG10",26,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700302]",31,"Sine","SIN",27,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700303]",32,"Hyperbolic Sine","SINH",28,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700304]",33,"Square Root","SQRT",29,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700305]",34,"Tangent","TAN",30,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700306]",35,"Hyperbolic Tangent","TANH",31,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700307]",36,"Average Directional Movement Index","ADX",32,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700308]",37,"Average Directional Movement Index Rating","ADXR",33,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700309]",38,"Absolute Price Oscillator","APO",34,"{""parameters_id"":[3,4,5,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""fastperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":12}],""slowperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":26}]}"
"[301386,502700310]",39,"Aroon - Down","AROON_aroondown",35,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700311]",40,"Aroon - Up","AROON_aroonup",35,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700312]",41,"Aroon Oscillator","AROONOSC",36,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700313]",42,"Balance Of Power","BOP",37,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700314]",43,"Commodity Channel Index","CCI",38,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700315]",44,"Chande Momentum Oscillator","CMO",39,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700316]",45,"Directional Movement Index","DX",40,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700317]",46,"Moving Average Convergence/Divergence","MACD_macd",41,"{""parameters_id"":[3,4,6,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""fastperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":12}],""slowperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":26}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700318]",47,"Moving Average Convergence/Divergence - Signal","MACD_macdsignal",41,"{""parameters_id"":[3,4,6,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""fastperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":12}],""slowperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":26}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700319]",48,"Moving Average Convergence/Divergence - Histogram","MACD_macdhist",41,"{""parameters_id"":[3,4,6,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""fastperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":12}],""slowperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":26}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700320]",49,"MACD with controllable MA type","MACDEXT_macd",42,"{""parameters_id"":[3,4,6,7,8,9,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""fastmatype"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""fastperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":12}],""slowmatype"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""slowperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":26}],""signalmatype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700321]",50,"MACD with controllable MA type - Signal","MACDEXT_macdsignal",42,"{""parameters_id"":[3,4,6,7,8,9,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""fastmatype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""fastperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":12}],""slowmatype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""slowperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":26}],""signalmatype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700322]",51,"MACD with controllable MA type - Histogram","MACDEXT_macdhist",42,"{""parameters_id"":[3,4,6,7,8,9,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""fastmatype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""fastperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":12}],""slowmatype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""slowperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":26}],""signalmatype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700323]",52,"Moving Average Convergence/Divergence Fix 12/26","MACDFIX_macd",43,"{""parameters_id"":[6,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700324]",53,"Moving Average Convergence/Divergence Fix 12/26 - Signal","MACDFIX_macdsignal",43,"{""parameters_id"":[6,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700325]",54,"Moving Average Convergence/Divergence Fix 12/26 - Histogram","MACDFIX_macdhist",43,"{""parameters_id"":[6,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""signalperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":9}]}"
"[301386,502700326]",55,"Money Flow Index","MFI",44,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700327]",56,"Minus Directional Indicator","MINUS_DI",45,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700328]",57,"Minus Directional Movement","MINUS_DM",46,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700329]",58,"Momentum","MOM",47,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":10}]}"
"[301386,502700330]",59,"Plus Directional Indicator","PLUS_DI",48,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700331]",60,"Plus Directional Movement","PLUS_DM",49,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700333]",61,"Percentage Price Oscillator","PPO",50,"{""parameters_id"":[3,4,5,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""fastperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":12}],""slowperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":26}]}"
"[301386,502700334]",62,"Rate of change : ((price/prevPrice)-1)*100","ROC",51,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":10}]}"
"[301386,502700335]",63,"Rate of change Percentage: (price-prevPrice)/prevPrice","ROCP",52,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":10}]}"
"[301386,502700336]",64,"Rate of change ratio: (price/prevPrice)","ROCR",53,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":10}]}"
"[301386,502700337]",65,"Rate of change ratio 100 scale: (price/prevPrice)*100","ROCR100",54,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":10}]}"
"[301386,502700338]",66,"Relative Strength Index","RSI",55,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}]}"
"[301386,502700339]",67,"Stochastic Slow","STOCH_slowk",56,"{""parameters_id"":[10,11,12,13,14,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""fastk_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}],""slowd_matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""slowd_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":3}],""slowk_matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""slowk_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":3}]}"
"[301386,502700340]",68,"Stochastic Slow - Moving Average","STOCH_slowd",56,"{""parameters_id"":[10,11,12,13,14,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""fastk_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}],""slowd_matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""slowd_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":3}],""slowk_matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""slowk_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":3}]}"
"[301386,502700341]",69,"Stochastic Fast","STOCHF_fastk",57,"{""parameters_id"":[10,15,16,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""fastd_matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""fastd_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":3}],""fastk_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700342]",70,"Stochastic Fast - Moving Average","STOCHF_fastd",57,"{""parameters_id"":[10,15,16,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""fastd_matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""fastd_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":3}],""fastk_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700343]",71,"Stochastic Relative Strength Index","STOCHRSI_fastk",58,"{""parameters_id"":[2,10,15,16,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}],""fastd_matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""fastd_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":3}],""fastk_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700344]",72,"Stochastic Relative Strength Index - Moving Average","STOCHRSI_fastd",58,"{""parameters_id"":[2,10,15,16,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":14}],""fastd_matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""fastd_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":3}],""fastk_period"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
