"ID","parameter_id","parameter_name","parameter_picture","parameter_info","parameter_indicators"
"[301340,505212459]",1,"source",#MEDIA,"","{""indicators_id"":[]}"
"[301340,505212460]",2,"timeperiod",#MEDIA,"","{""indicators_id"":[10,11,12,13,14,15,16,17,20,36,37,39,40,41,43,44,45,55,56,57,58,59,60,62,63,64,65,66,73,75,76,77,78,79,80,82,83,87,88,91,92,93,94,95,161,162,163,164,165,166,167,168,169,170,171]}"
"[301340,505212461]",3,"slowperiod",#MEDIA,"","{""indicators_id"":[38,46,47,48,49,50,51,61,174]}"
"[301340,505212462]",4,"fastperiod",#MEDIA,"","{""indicators_id"":[38,46,47,48,49,50,51,61,174]}"
"[301340,505212463]",5,"matype",#MEDIA,"","{""indicators_id"":[38,61,76,77,78,83,86]}"
"[301340,505212464]",6,"signalperiod",#MEDIA,"","{""indicators_id"":[46,47,48,49,50,51,52,53,54]}"
"[301340,505212465]",7,"fastmatype",#MEDIA,"","{""indicators_id"":[49,50,51]}"
"[301340,505212466]",8,"slowmatype",#MEDIA,"","{""indicators_id"":[49,50,51]}"
"[301340,505212467]",9,"signalmatype",#MEDIA,"","{""indicators_id"":[49,50,51]}"
"[301340,505212468]",10,"fastk_period",#MEDIA,"","{""indicators_id"":[67,68,69,70,71,72]}"
"[301340,505212469]",11,"slowk_period",#MEDIA,"","{""indicators_id"":[67,68]}"
"[301340,505212470]",12,"slowk_matype",#MEDIA,"","{""indicators_id"":[67,68]}"
"[301340,505212471]",13,"slowd_period",#MEDIA,"","{""indicators_id"":[67,68]}"
"[301340,505212472]",14,"slowd_matype",#MEDIA,"","{""indicators_id"":[67,68]}"
"[301340,505212473]",15,"fastd_period",#MEDIA,"","{""indicators_id"":[69,70,71,72]}"
"[301340,505212474]",16,"fastd_matype",#MEDIA,"","{""indicators_id"":[69,70,71,72]}"
"[301340,505212475]",17,"timeperiod1",#MEDIA,"","{""indicators_id"":[74]}"
"[301340,505212476]",18,"timeperiod2",#MEDIA,"","{""indicators_id"":[74]}"
"[301340,505212477]",19,"timeperiod3",#MEDIA,"","{""indicators_id"":[74]}"
"[301340,505212478]",20,"nbdevup",#MEDIA,"","{""indicators_id"":[76,77,78]}"
"[301340,505212479]",21,"nbdevdn",#MEDIA,"","{""indicators_id"":[76,77,78]}"
"[301340,505212480]",22,"fastlimit",#MEDIA,"","{""indicators_id"":[84,85]}"
"[301340,505212481]",23,"slowlimit",#MEDIA,"","{""indicators_id"":[84,85]}"
"[301340,505212482]",24,"minperiod",#MEDIA,"","{""indicators_id"":[86]}"
"[301340,505212483]",25,"maxperiod",#MEDIA,"","{""indicators_id"":[86]}"
"[301340,505212484]",26,"acceleration",#MEDIA,"","{""indicators_id"":[89]}"
"[301340,505212485]",27,"maximum",#MEDIA,"","{""indicators_id"":[89]}"
"[301340,505212486]",28,"startvalue",#MEDIA,"","{""indicators_id"":[90]}"
"[301340,505212487]",29,"offsetonreverse",#MEDIA,"","{""indicators_id"":[90]}"
"[301340,505212488]",30,"accelerationinitlong",#MEDIA,"","{""indicators_id"":[90]}"
"[301340,505212489]",31,"accelerationlong",#MEDIA,"","{""indicators_id"":[90]}"
"[301340,505212490]",32,"accelerationmaxlong",#MEDIA,"","{""indicators_id"":[90]}"
"[301340,505212491]",33,"accelerationinitshort",#MEDIA,"","{""indicators_id"":[90]}"
"[301340,505212492]",34,"accelerationshort",#MEDIA,"","{""indicators_id"":[90]}"
"[301340,505212493]",35,"accelerationmaxshort",#MEDIA,"","{""indicators_id"":[90]}"
"[301340,505212494]",36,"vfactor",#MEDIA,"","{""indicators_id"":[92]}"
"[301340,505212495]",37,"penetration",#MEDIA,"","{""indicators_id"":[103,110,115,116,137,138,139]}"
"[301340,505212496]",38,"nbdev",#MEDIA,"","{""indicators_id"":[167,169]}"
"[301340,519440511]",39,"time",#MEDIA,"","{""indicators_id"":[176]}"